epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2516.38,0.52957,0.48192,0.80129,1.13117,0.98512,0.76923,0.76597,0.71866,0.98512,0.76923,0.76597,0.65291,0.6575,2.02856,0.85517,0.9318,0.0008516,0.0008516,0.0008516
31,2569.76,0.48519,0.60544,0.68726,1.07617,0.98512,0.76923,0.76597,0.71866,0.98512,0.76923,0.76597,0.65291,0.6575,2.02856,0.85517,0.9318,0.000812,0.000812,0.000812
32,2620.64,0.47817,0.86211,0.68935,1.11069,0.97618,0.76923,0.76609,0.72178,0.97618,0.76923,0.76609,0.69086,0.60913,0.92847,0.77571,0.88635,0.0007724,0.0007724,0.0007724
33,2677.51,0.43046,0.63021,0.57834,1.09966,0.98739,0.76923,0.76603,0.72113,0.98739,0.76923,0.76603,0.70438,0.62271,0.95649,0.76153,0.85926,0.0007328,0.0007328,0.0007328
34,2730.78,0.46494,0.79181,0.65865,1.0765,0.98739,0.76923,0.76603,0.72113,0.98739,0.76923,0.76603,0.70438,0.62271,0.95649,0.76153,0.85926,0.0006932,0.0006932,0.0006932
35,2790.63,0.40979,0.3832,0.60497,1.05487,0.99121,0.69231,0.74596,0.64631,0.99121,0.69231,0.74596,0.61437,0.83576,1.145,1.01248,0.97709,0.0006536,0.0006536,0.0006536
36,2852.01,0.47433,0.61659,0.71864,1.11312,0.9073,0.76923,0.75939,0.65272,0.9073,0.76923,0.75939,0.62502,0.83083,1.1728,0.98003,0.9643,0.000614,0.000614,0.000614
37,2910.8,0.42336,0.42022,0.62902,1.03664,0.9073,0.76923,0.75939,0.65272,0.9073,0.76923,0.75939,0.62502,0.83083,1.1728,0.98003,0.9643,0.0005744,0.0005744,0.0005744
38,2974.22,0.39198,0.74525,0.60145,1.05239,0.98584,0.69231,0.7346,0.64449,0.98584,0.69231,0.7346,0.60454,0.77251,1.09593,0.92308,0.94945,0.0005348,0.0005348,0.0005348
39,3028.99,0.45065,0.77111,0.59586,1.14049,0.98584,0.69231,0.7346,0.64449,0.98584,0.69231,0.7346,0.60454,0.77251,1.09593,0.92308,0.94945,0.0004952,0.0004952,0.0004952
40,3081.06,0.43805,0.77425,0.65004,1.09249,0.98649,0.61538,0.64355,0.58519,0.98649,0.61538,0.61597,0.58231,0.82388,1.16629,1.00887,1.03673,0.0004556,0.0004556,0.0004556
41,3133.71,0.3422,0.83285,1.38698,1.16985,0.98424,0.61538,0.72573,0.64479,0.98424,0.61538,0.69517,0.63378,0.63346,1.09613,1.08475,0.89293,0.000416,0.000416,0.000416
42,3183.91,0.29998,0.68906,1.03791,1.11586,0.98424,0.61538,0.72573,0.64479,0.98424,0.61538,0.69517,0.63378,0.63346,1.09613,1.08475,0.89293,0.0003764,0.0003764,0.0003764
43,3235.37,0.26687,0.79121,0.81775,1.13551,0.88728,0.76923,0.75935,0.73893,0.88728,0.76923,0.75935,0.69931,0.37404,1.05289,0.85707,0.71397,0.0003368,0.0003368,0.0003368
44,3293.02,0.2553,0.59372,0.71653,1.02238,0.9954,0.76923,0.76574,0.75875,0.9954,0.76923,0.76574,0.71793,0.38444,1.30267,0.75986,0.71716,0.0002972,0.0002972,0.0002972
45,3355.04,0.234,0.73491,0.58561,1.06345,0.9954,0.76923,0.76574,0.75875,0.9954,0.76923,0.76574,0.71793,0.38444,1.30267,0.75986,0.71716,0.0002576,0.0002576,0.0002576
46,3417.37,0.24667,0.76356,0.53714,1.20263,0.99463,0.76923,0.76576,0.76576,0.99463,0.76923,0.76576,0.7222,0.35824,1.27994,0.67635,0.67756,0.000218,0.000218,0.000218
47,3475.68,0.19015,0.75002,0.52011,1.03482,0.99463,0.76923,0.76576,0.76576,0.99463,0.76923,0.76576,0.7222,0.35824,1.27994,0.67635,0.67756,0.0001784,0.0001784,0.0001784
48,3534.78,0.21569,0.68453,0.55156,1.05316,0.99455,0.76923,0.76576,0.75877,0.99455,0.76923,0.76576,0.72221,0.34804,1.04078,0.62685,0.65212,0.0001388,0.0001388,0.0001388
49,3594.41,0.20744,0.73866,0.51561,1.11279,0.99459,0.76923,0.76579,0.7588,0.99459,0.76923,0.76579,0.71624,0.35271,0.98462,0.60909,0.65254,9.92e-05,9.92e-05,9.92e-05
50,3658.77,0.20043,0.68782,0.45557,1.01112,0.99459,0.76923,0.76579,0.7588,0.99459,0.76923,0.76579,0.71624,0.35271,0.98462,0.60909,0.65254,5.96e-05,5.96e-05,5.96e-05
