epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.673,0,0,45.068,0,0,0,0,0,0,0,0,0,0,0,313.068,0,0.00038,0.00038,0.00038
2,257.658,0,0,24.0864,0,0,0,0,0,0,0,0,0,0,0,344.587,0,0.00070278,0.00070278,0.00070278
3,357.786,0,0,18.5876,0,0,0,0,0,0,0,0,0,0,0,431.686,0,0.00094636,0.00094636,0.00094636
4,460.342,0,0,15.4953,0,0,0,0,0,0,0,0,0,0,0,29759,0,0.00111074,0.00111074,0.00111074
5,550.272,0,0,17.9179,0,0,0,0,0,0,0,0,0,0,0,29759,0,0.00119592,0.00119592,0.00119592
6,651.936,0,0,15.759,0,0,0,0,0,0,0,0,0,0,0,207.59,0,0.00101,0.00101,0.00101
7,734.908,0,0,10.3643,0,0,0,0,0,0,0,0,0,0,0,207.59,0,0.000812,0.000812,0.000812
8,825.039,0,0,7.55995,0,0,0,0,0,0,0,0,0,0,0,17.7089,0,0.000614,0.000614,0.000614
9,908.888,0,0,6.52845,0,0,0,0,0,0,0,0,0,0,0,11.5799,0,0.000416,0.000416,0.000416
10,994.812,0,0,5.76143,0,0,0,0,0,0,0,0,0,0,0,11.5799,0,0.000218,0.000218,0.000218
